Iteration,Loss
1,-0.350200
2,-0.714000
3,-0.209400
4,-0.457400
5,-0.580600
6,-0.177200
7,-0.269200
8,-0.194200
9,-0.600600
10,-0.646600
11,-0.514200
12,-0.659000
13,-0.683200
14,-0.599600
15,-0.733600
16,-0.554800
17,-0.711200
18,-0.103800
19,-0.643800
20,-0.689600
21,-0.501600
22,-0.743200
23,-0.730400
24,-0.603400
25,-0.663600
26,-0.708800
27,-0.623000
28,-0.617800
29,-0.689200
30,-0.643000
31,-0.696400
32,-0.678600
33,-0.677600
34,-0.459600
35,-0.628000
36,-0.354400
37,-0.483200
38,-0.097600
39,-0.709400
40,-0.675800
41,-0.723200
42,-0.743600
43,-0.629000
44,-0.649600
45,-0.713000
46,-0.708400
47,-0.662800
48,-0.649800
49,-0.644800
50,-0.656400
51,-0.709800
52,-0.682400
53,-0.300600
54,-0.707800
55,-0.639400
56,-0.663600
57,-0.710400
58,-0.688400
59,-0.666800
60,-0.672600
61,-0.698800
62,-0.638800
63,-0.656400
64,-0.708000
65,-0.696600
66,-0.661600
67,-0.717400
68,-0.698400
69,-0.681600
70,-0.616200
71,-0.732800
72,-0.710400
73,-0.695000
74,-0.731600
75,-0.704200
76,-0.689000
77,-0.708000
78,-0.680800
79,-0.650400
80,-0.695400
81,-0.686600
82,-0.704600
83,-0.694600
84,-0.667800
85,-0.721400
86,-0.711800
87,-0.662400
88,-0.725000
89,-0.682600
90,-0.683000
91,-0.695600
92,-0.707800
93,-0.677400
94,-0.698600
95,-0.706000
96,-0.712000
97,-0.683800
98,-0.715800
99,-0.652800
100,-0.695000
