Iteration,Loss
1,-0.613833
2,-0.862500
3,-0.909000
4,-0.813333
5,-0.822000
6,-0.737667
7,-0.917000
8,-0.907000
9,-0.814000
10,-0.890667
11,-0.911167
12,-0.911500
13,-0.910500
14,-0.912333
15,-0.900667
16,-0.849833
17,-0.801000
18,-0.915000
19,-0.887500
20,-0.863667
21,-0.910167
22,-0.855167
23,-0.887333
24,-0.917500
25,-0.913667
26,-0.891000
27,-0.880833
28,-0.912333
29,-0.916167
30,-0.916500
31,-0.921667
32,-0.909000
33,-0.917667
34,-0.860000
35,-0.908333
36,-0.867500
37,-0.858000
38,-0.839167
39,-0.872000
40,-0.723500
41,-0.913000
42,-0.912667
43,-0.916667
44,-0.907000
45,-0.904333
46,-0.905500
47,-0.895833
48,-0.902167
49,-0.849500
50,-0.895333
51,-0.895000
52,-0.826667
53,-0.913333
54,-0.899500
55,-0.772333
56,-0.899333
57,-0.916667
58,-0.912667
59,-0.910500
60,-0.908833
61,-0.914333
62,-0.861667
63,-0.918667
64,-0.912000
65,-0.910000
66,-0.914167
67,-0.856333
68,-0.904333
69,-0.901167
70,-0.891667
71,-0.836833
72,-0.876500
73,-0.903833
74,-0.797167
75,-0.913667
76,-0.831333
77,-0.911833
78,-0.910833
79,-0.901333
80,-0.909333
81,-0.913000
82,-0.900000
83,-0.754333
84,-0.917000
85,-0.890500
86,-0.896000
87,-0.903167
88,-0.632500
89,-0.856167
90,-0.854000
91,-0.696833
92,-0.765833
93,-0.853667
94,-0.865333
95,-0.748333
96,-0.841333
97,-0.822000
98,-0.103167
99,-0.100833
100,-0.879333
