Iteration,Loss
1,-0.030890
2,-0.116066
3,-0.008444
4,-0.592568
5,-0.764363
6,-0.646628
7,-0.178628
8,-0.248518
9,-0.117048
10,-0.156186
11,-0.007819
12,-0.692601
13,-0.731378
14,-0.003721
15,-0.622764
16,-0.725355
17,-0.653297
18,-0.849481
19,-0.731460
20,-0.757804
21,-0.604198
22,-0.361162
23,-0.702356
24,-0.779991
25,-0.705144
26,-0.509417
27,-0.627578
28,-0.724543
29,-0.706088
30,-0.644427
31,-0.727113
32,-0.584185
33,-0.073805
34,-0.014567
35,-0.697474
36,-0.634155
37,-0.465426
38,-0.739160
39,-0.328891
40,-0.430788
41,-0.260114
42,-0.782979
43,-0.718549
44,-0.555748
45,-0.582856
46,-0.560310
47,-0.457698
48,-0.650449
49,-0.853897
50,-0.557472
51,-0.806496
52,-0.679444
53,-0.696640
54,-0.742424
55,-0.511846
56,-0.810455
57,-0.706376
58,-0.740648
59,-0.650868
60,-0.648584
61,-0.027714
62,-0.577973
63,-0.558534
64,-0.124222
65,-0.811218
66,-0.696681
67,-0.653911
68,-0.659678
69,-0.846465
70,-0.742722
71,-0.740946
72,-0.709222
73,-0.486732
74,-0.622309
75,-0.532041
76,-0.464278
77,-0.885481
78,-0.849104
79,-0.856526
80,-0.755183
81,-0.810812
82,-0.412530
83,-0.627221
84,-0.821915
85,-0.830201
86,-0.868473
87,-0.896317
88,-0.879646
89,-0.875905
90,-0.900454
91,-0.842198
92,-0.888914
93,-0.865060
94,-0.896505
95,-0.894263
96,-0.865873
97,-0.892467
98,-0.887446
99,-0.884181
100,-0.883506
