Iteration,Loss,Cumulative_Min
0.000000,-0.030890,-0.030890
1.000000,-0.116066,-0.116066
2.000000,-0.008444,-0.116066
3.000000,-0.592568,-0.592568
4.000000,-0.764363,-0.764363
5.000000,-0.646628,-0.764363
6.000000,-0.178628,-0.764363
7.000000,-0.248518,-0.764363
8.000000,-0.117048,-0.764363
9.000000,-0.156186,-0.764363
10.000000,-0.007819,-0.764363
11.000000,-0.692601,-0.764363
12.000000,-0.731378,-0.764363
13.000000,-0.003721,-0.764363
14.000000,-0.622764,-0.764363
15.000000,-0.725355,-0.764363
16.000000,-0.653297,-0.764363
17.000000,-0.849481,-0.849481
18.000000,-0.731460,-0.849481
19.000000,-0.757804,-0.849481
20.000000,-0.604198,-0.849481
21.000000,-0.361162,-0.849481
22.000000,-0.702356,-0.849481
23.000000,-0.779991,-0.849481
24.000000,-0.705144,-0.849481
25.000000,-0.509417,-0.849481
26.000000,-0.627578,-0.849481
27.000000,-0.724543,-0.849481
28.000000,-0.706088,-0.849481
29.000000,-0.644427,-0.849481
30.000000,-0.727113,-0.849481
31.000000,-0.584185,-0.849481
32.000000,-0.073805,-0.849481
33.000000,-0.014567,-0.849481
34.000000,-0.697474,-0.849481
35.000000,-0.634155,-0.849481
36.000000,-0.465426,-0.849481
37.000000,-0.739160,-0.849481
38.000000,-0.328891,-0.849481
39.000000,-0.430788,-0.849481
40.000000,-0.260114,-0.849481
41.000000,-0.782979,-0.849481
42.000000,-0.718549,-0.849481
43.000000,-0.555748,-0.849481
44.000000,-0.582856,-0.849481
45.000000,-0.560310,-0.849481
46.000000,-0.457698,-0.849481
47.000000,-0.650449,-0.849481
48.000000,-0.853897,-0.853897
49.000000,-0.557472,-0.853897
50.000000,-0.806496,-0.853897
51.000000,-0.679444,-0.853897
52.000000,-0.696640,-0.853897
53.000000,-0.742424,-0.853897
54.000000,-0.511846,-0.853897
55.000000,-0.810455,-0.853897
56.000000,-0.706376,-0.853897
57.000000,-0.740648,-0.853897
58.000000,-0.650868,-0.853897
59.000000,-0.648584,-0.853897
60.000000,-0.027714,-0.853897
61.000000,-0.577973,-0.853897
62.000000,-0.558534,-0.853897
63.000000,-0.124222,-0.853897
64.000000,-0.811218,-0.853897
65.000000,-0.696681,-0.853897
66.000000,-0.653911,-0.853897
67.000000,-0.659678,-0.853897
68.000000,-0.846465,-0.853897
69.000000,-0.742722,-0.853897
70.000000,-0.740946,-0.853897
71.000000,-0.709222,-0.853897
72.000000,-0.486732,-0.853897
73.000000,-0.622309,-0.853897
74.000000,-0.532041,-0.853897
75.000000,-0.464278,-0.853897
76.000000,-0.885481,-0.885481
77.000000,-0.849104,-0.885481
78.000000,-0.856526,-0.885481
79.000000,-0.755183,-0.885481
80.000000,-0.810812,-0.885481
81.000000,-0.412530,-0.885481
82.000000,-0.627221,-0.885481
83.000000,-0.821915,-0.885481
84.000000,-0.830201,-0.885481
85.000000,-0.868473,-0.885481
86.000000,-0.896317,-0.896317
87.000000,-0.879646,-0.896317
88.000000,-0.875905,-0.896317
89.000000,-0.900454,-0.900454
90.000000,-0.842198,-0.900454
91.000000,-0.888914,-0.900454
92.000000,-0.865060,-0.900454
93.000000,-0.896505,-0.900454
94.000000,-0.894263,-0.900454
95.000000,-0.865873,-0.900454
96.000000,-0.892467,-0.900454
97.000000,-0.887446,-0.900454
98.000000,-0.884181,-0.900454
99.000000,-0.883506,-0.900454
